date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:08	38363/38363	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:26%20GMT	https://www.hemstedt.de/fileadmin/user_upload/5_Pool.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/5_Pool.jpg	(from https://www.hemstedt.de/en/)
09:31:08	22883/22883	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:32%20GMT	https://www.hemstedt.de/fileadmin/user_upload/130_Wald.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/130_Wald.jpg	(from https://www.hemstedt.de/en/)
09:31:08	33207/33207	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:09%20GMT	https://www.hemstedt.de/en/company/innovations/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/innovations/index.html	(from https://www.hemstedt.de/en/)
09:31:08	28010/28010	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:31%20GMT	https://www.hemstedt.de/fileadmin/user_upload/130_Sport.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/130_Sport.jpg	(from https://www.hemstedt.de/en/)
09:31:09	23029/23029	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:24%20GMT	https://www.hemstedt.de/fileadmin/user_upload/FrontsliderKuhlhaus2.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/FrontsliderKuhlhaus2.jpg	(from https://www.hemstedt.de/en/)
09:31:09	22577/22577	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:27%20GMT	https://www.hemstedt.de/fileadmin/user_upload/Weinbau128auf150.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/Weinbau128auf150.jpg	(from https://www.hemstedt.de/en/)
09:31:09	26306/26306	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:16%20GMT	https://www.hemstedt.de/fileadmin/files/wasserstoff-brennstoffzelle-en.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/files/wasserstoff-brennstoffzelle-en.jpg	(from https://www.hemstedt.de/en/)
09:31:10	7708/7708	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202022%2009:17:11%20GMT	https://www.hemstedt.de/fileadmin/files/made-in-germany_en.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/files/made-in-germany_en.jpg	(from https://www.hemstedt.de/en/)
09:31:10	48385/48385	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:10%20GMT	https://www.hemstedt.de/en/company/certificates/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/certificates/index.html	(from https://www.hemstedt.de/en/)
09:31:10	33068/33068	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:11%20GMT	https://www.hemstedt.de/en/company/model-house/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/model-house/index.html	(from https://www.hemstedt.de/en/)
09:31:10	207859/207859	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Jun%202023%2019:42:22%20GMT	https://www.hemstedt.de/fileadmin/user_upload/OEkostrom2.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/OEkostrom2.jpg	(from https://www.hemstedt.de/en/)
09:31:10	97929/97929	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202023%2016:53:03%20GMT	https://www.hemstedt.de/fileadmin/user_upload/renewableready_2.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/renewableready_2.png	(from https://www.hemstedt.de/en/)
09:31:10	31548/31548	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2004:01:11%20GMT	https://www.hemstedt.de/en/company/references/	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/en/company/references/index.html	(from https://www.hemstedt.de/en/)
09:31:11	2659/2659	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2000:00:11%20GMT	https://www.hemstedt.de/fileadmin/_processed_/f/9/csm_Zertifikatsuebergabe_1__FINAL_master_cut__VDE_86f456890f.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/f/9/csm_Zertifikatsuebergabe_1__FINAL_master_cut__VDE_86f456890f.jpg	(from https://www.hemstedt.de/en/)
09:31:11	104340/104340	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202023%2017:34:59%20GMT	https://www.hemstedt.de/fileadmin/user_upload/GBA22_HO_SPECIAL_MC_RGB.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/user_upload/GBA22_HO_SPECIAL_MC_RGB.png	(from https://www.hemstedt.de/en/)
09:31:11	2894/2894	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20May%202022%2008:04:10%20GMT	https://www.hemstedt.de/fileadmin/_processed_/0/b/csm_Hemstedt_Header_Regulierung_u_T_Elektronische_T_071354ad34.jpg	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/0/b/csm_Hemstedt_Header_Regulierung_u_T_Elektronische_T_071354ad34.jpg	(from https://www.hemstedt.de/en/)
09:31:11	9458/9458	---M--	200	added ('OK')	image/png	date:Fri,%2013%20May%202022%2010:11:42%20GMT	https://www.hemstedt.de/fileadmin/_processed_/7/2/csm_EGA_Label_Nominee_2022__003__0c94a5e23b.png	C:/My%20Web%20Sites/hemstedt.in/www.hemstedt.de/fileadmin/_processed_/7/2/csm_EGA_Label_Nominee_2022__003__0c94a5e23b.png	(from https://www.hemstedt.de/en/)
